annee,lb_geo,POSOR_MO,POSOR_DBO5,POSOR_NR,POSOR_PT
2002,46,"1,298","0,8653333333","0,054","0,016"
2002,47,"6,503","4,3353333333","0,309","0,062"
2002,48,"0,091","0,0606666667","0,015","0,012"
2002,63,"0,271","0,1806666667","0,027","0,021"
2002,64,"3,822","2,548","0,941","0,305"
2002,65,"1,379","0,9193333333","0,379","0,063"
2002,79,"0,75","0,5","0,125","0,014"
2002,81,"4,443","2,962","1,713","0,093"
2002,82,"0,643","0,4286666667","0,043","0,04"
2002,86,"0,165","0,11","0,007","0,026"
2002,87,"0,074","0,0493333333","0,001",NA
2002,bag,"101,641","67,7606666667","10,195","2,554"
2002,FRF_ADOU,"21,828","14,552","2,588","1,042"
2002,FRF_CHAR,"11,836","7,8906666667","1,644","0,212"
2002,FRF_DORD,"16,567","11,0446666667","1,091","0,375"
2002,FRF_GARO,"17,116","11,4106666667","1,925","0,457"
2002,FRF_LITT,"8,907","5,938","0,82","0,17"
2002,FRF_LOT,"6,536","4,3573333333","0,207","0,123"
2002,FRF_TARN,"5,49","3,66","1,809","0,141"
2003,09,"1,352","0,9013333333","0,065","0,008"
2003,11,"0,002","0,0013333333",NA,NA
2003,12,"0,758","0,5053333333","0,076","0,059"
2003,15,"1,144","0,7626666667","0,144","0,097"
2003,16,"6,35","4,2333333333","1,36","0,132"
2003,17,"1,446","0,964","0,141","0,077"
2003,19,"1,402","0,9346666667","0,068","0,027"
2003,24,"6,123","4,082","0,409","0,094"
2003,31,"8,01","5,34","0,21","0,178"
2003,32,"1,05","0,7","0,121","0,03"
2003,33,"10,781","7,1873333333","0,894","0,331"
2003,40,"19,492","12,9946666667","2,199","0,527"
2003,46,"1,114","0,7426666667","0,053","0,042"
2003,47,"6,033","4,022","0,327","0,059"
2003,48,"0,116","0,0773333333","0,017","0,012"
2003,63,"0,27","0,18","0,028","0,021"
2003,64,"3,687","2,458","1,2","0,228"
2003,65,"1,344","0,896","0,299","0,062"
2003,79,"0,839","0,5593333333","0,293","0,015"
2003,81,"3,167","2,1113333333","1,729","0,087"
2003,82,"0,658","0,4386666667","0,052","0,039"
2003,86,"0,165","0,11","0,008","0,031"
2003,87,"0,103","0,0686666667","0,002",NA
2003,bag,"89,022","59,348","9,916","2,189"
2003,FRF_ADOU,"22,342","14,8946666667","3,041","0,704"
2003,FRF_CHAR,"7,649","5,0993333333","1,724","0,237"
2003,FRF_DORD,"13,372","8,9146666667","1,011","0,398"
2003,FRF_GARO,"17,252","11,5013333333","1,093","0,382"
2003,FRF_LITT,"8,655","5,77","0,812","0,17"
2003,FRF_LOT,"5,893","3,9286666667","0,21","0,111"
2003,FRF_TARN,"4,386","2,924","1,845","0,161"
2004,09,"1,125","0,75","0,059","0,017"
2004,11,"0,004","0,0026666667","0,001",NA
2004,12,"0,916","0,6106666667","0,074","0,056"
2004,15,"0,753","0,502","0,071","0,073"
2004,16,"5,134","3,4226666667","1,13","0,116"
2004,17,"1,516","1,0106666667","0,148","0,082"
2004,19,"1,289","0,8593333333","0,072","0,02"
2004,24,"4,553","3,0353333333","0,405","0,087"
2004,31,"8,514","5,676","0,204","0,178"
2004,32,"0,959","0,6393333333","0,121","0,034"
2004,33,"12,899","8,5993333333","0,904","0,3"
2004,40,"19,089","12,726","1,983","0,457"
2004,46,"1,151","0,7673333333","0,058","0,04"
2004,47,"5,81","3,8733333333","0,326","0,05"
2004,48,"0,164","0,1093333333","0,018","0,007"
2004,63,"0,259","0,1726666667","0,033","0,021"
2004,64,"3,184","2,1226666667","0,999","0,251"
2004,65,"1,191","0,794","0,302","0,055"
2004,79,"0,521","0,3473333333","0,129","0,031"
2004,81,"2,834","1,8893333333","1,474","0,082"
2004,82,"0,647","0,4313333333","0,055","0,032"
2004,86,"0,165","0,11","0,009","0,022"
2004,87,"0,113","0,0753333333","0,002","0,001"
2004,bag,"83,414","55,6093333333","8,81","2,041"
2004,FRF_ADOU,"21,994","14,6626666667","2,686","0,594"
2004,FRF_CHAR,"6,209","4,1393333333","1,355","0,235"
2004,FRF_DORD,"12,176","8,1173333333","0,967","0,359"
2004,FRF_GARO,"18,059","12,0393333333","1,027","0,376"
2004,FRF_LITT,"7,376","4,9173333333","0,752","0,184"
2004,FRF_LOT,"6,261","4,174","0,252","0,096"
2004,FRF_TARN,"3,812","2,5413333333","1,581","0,136"
2005,09,"1,111","0,7406666667","0,058","0,018"
2005,11,"0,002","0,0013333333",NA,NA
2005,12,"0,493","0,3286666667","0,076","0,042"
2005,15,"0,962","0,6413333333","0,134","0,057"
2005,16,"4,5",3,"1,15","0,119"
2005,17,"1,714","1,1426666667","0,146","0,064"
2005,19,"0,967","0,6446666667","0,074","0,016"
2005,24,"4,078","2,7186666667","0,412","0,083"
2005,31,"7,039","4,6926666667","0,326","0,194"
2005,32,"1,127","0,7513333333","0,131","0,033"
2005,33,"12,35","8,2333333333","0,895","0,331"
2005,40,"19,804","13,2026666667","1,77","0,568"
2005,46,"1,154","0,7693333333","0,055","0,03"
2005,47,"6,306","4,204","0,321","0,06"
2005,48,"0,147","0,098","0,016","0,015"
2005,63,"0,263","0,1753333333","0,033","0,021"
2005,64,"3,36","2,24","0,854","0,201"
2005,65,"1,455","0,97","0,333","0,058"
2005,79,"0,671","0,4473333333","0,163","0,03"
2005,81,"2,481","1,654","1,393","0,083"
2005,82,"0,563","0,3753333333","0,041","0,028"
2005,86,"0,051","0,034","0,016","0,017"
2005,87,"0,052","0,0346666667","0,001",NA
2005,bag,"84,274","56,1826666667","8,728","2,11"
2005,FRF_ADOU,"23,151","15,434","2,375","0,676"
2005,FRF_CHAR,"5,874","3,916","1,421","0,214"
2005,FRF_DORD,"11,715","7,81","1,049","0,351"
2005,FRF_GARO,"16,516","11,0106666667","1,167","0,408"
2005,FRF_LITT,"7,205","4,8033333333","0,742","0,157"
2005,FRF_LOT,"6,122","4,0813333333","0,224","0,102"
2005,FRF_TARN,"3,395","2,2633333333","1,493","0,123"
2006,09,"1,234","0,8226666667","0,058","0,019"
2006,11,"0,003","0,002","0,001",NA
2006,12,"0,578","0,3853333333","0,055","0,076"
2006,15,"1,042","0,6946666667","0,156","0,05"
2006,16,"4,576","3,0506666667","0,822","0,102"
2006,17,"1,974","1,316","0,135","0,065"
2006,19,"0,693","0,462","0,043","0,008"
2006,24,"4,08","2,72","0,396","0,077"
2006,31,"7,647","5,098","0,304","0,135"
2006,32,"1,207","0,8046666667","0,092","0,025"
2006,33,"10,718","7,1453333333","0,858","0,317"
2006,40,"19,93","13,2866666667","1,677","0,549"
2006,46,"0,833","0,5553333333","0,044","0,023"
2006,47,"5,939","3,9593333333","0,362","0,048"
2006,48,"0,112","0,0746666667","0,015","0,011"
2006,63,"0,266","0,1773333333","0,033","0,021"
2006,64,"3,286","2,1906666667","1,02","0,18"
2006,65,"1,185","0,79","0,33","0,06"
2006,79,"0,304","0,2026666667","0,108","0,025"
2006,81,"2,44","1,6266666667","0,823","0,075"
2006,82,"0,665","0,4433333333","0,052","0,037"
2006,86,"0,046","0,0306666667","0,017","0,018"
2006,87,"0,012","0,008",NA,NA
2006,bag,"81,627","54,418","7,736","1,966"
2006,FRF_ADOU,"23,45","15,6333333333","2,384","0,622"
