geo,parametre,type_indic,seq_annee,lb_annee,i_b100
FRF_LITT,DBO5,indic_b100,1985-1990,1985,"100,4"
FRF_LOT,DBO5,indic_b100,1985-1990,1985,"67,6"
FRF_TARN,DBO5,indic_b100,1985-1990,1985,"72,8"
09,NH4+,indic_b100,1985-1990,1985,"84,8"
12,NH4+,indic_b100,1985-1990,1985,75
15,NH4+,indic_b100,1985-1990,1985,"77,6"
16,NH4+,indic_b100,1985-1990,1985,"81,2"
17,NH4+,indic_b100,1985-1990,1985,"125,8"
19,NH4+,indic_b100,1985-1990,1985,"18,4"
24,NH4+,indic_b100,1985-1990,1985,"41,8"
31,NH4+,indic_b100,1985-1990,1985,"57,4"
32,NH4+,indic_b100,1985-1990,1985,"16,2"
33,NH4+,indic_b100,1985-1990,1985,44
40,NH4+,indic_b100,1985-1990,1985,"112,8"
46,NH4+,indic_b100,1985-1990,1985,"137,2"
47,NH4+,indic_b100,1985-1990,1985,51
48,NH4+,indic_b100,1985-1990,1985,"78,4"
64,NH4+,indic_b100,1985-1990,1985,"98,2"
65,NH4+,indic_b100,1985-1990,1985,36
79,NH4+,indic_b100,1985-1990,1985,"96,6"
81,NH4+,indic_b100,1985-1990,1985,"66,2"
82,NH4+,indic_b100,1985-1990,1985,"84,6"
bag,NH4+,indic_b100,1985-1990,1985,"65,4"
FRF_ADOU,NH4+,indic_b100,1985-1990,1985,"110,4"
FRF_CHAR,NH4+,indic_b100,1985-1990,1985,"77,8"
FRF_DORD,NH4+,indic_b100,1985-1990,1985,42
FRF_GARO,NH4+,indic_b100,1985-1990,1985,"52,2"
FRF_LITT,NH4+,indic_b100,1985-1990,1985,"121,4"
FRF_LOT,NH4+,indic_b100,1985-1990,1985,"93,6"
FRF_TARN,NH4+,indic_b100,1985-1990,1985,"71,8"
09,NO3-,indic_b100,1985-1990,1985,"132,8"
12,NO3-,indic_b100,1985-1990,1985,"165,2"
15,NO3-,indic_b100,1985-1990,1985,"146,2"
16,NO3-,indic_b100,1985-1990,1985,"201,8"
17,NO3-,indic_b100,1985-1990,1985,"158,2"
19,NO3-,indic_b100,1985-1990,1985,"154,6"
24,NO3-,indic_b100,1985-1990,1985,"130,6"
31,NO3-,indic_b100,1985-1990,1985,149
32,NO3-,indic_b100,1985-1990,1985,"241,2"
33,NO3-,indic_b100,1985-1990,1985,"169,6"
40,NO3-,indic_b100,1985-1990,1985,"273,2"
46,NO3-,indic_b100,1985-1990,1985,"165,8"
47,NO3-,indic_b100,1985-1990,1985,"163,4"
48,NO3-,indic_b100,1985-1990,1985,"204,2"
64,NO3-,indic_b100,1985-1990,1985,"162,2"
65,NO3-,indic_b100,1985-1990,1985,"147,4"
79,NO3-,indic_b100,1985-1990,1985,"376,6"
81,NO3-,indic_b100,1985-1990,1985,"114,8"
82,NO3-,indic_b100,1985-1990,1985,"154,6"
bag,NO3-,indic_b100,1985-1990,1985,"158,8"
FRF_ADOU,NO3-,indic_b100,1985-1990,1985,"221,6"
FRF_CHAR,NO3-,indic_b100,1985-1990,1985,"181,8"
FRF_DORD,NO3-,indic_b100,1985-1990,1985,"141,8"
FRF_GARO,NO3-,indic_b100,1985-1990,1985,144
FRF_LITT,NO3-,indic_b100,1985-1990,1985,"134,2"
FRF_LOT,NO3-,indic_b100,1985-1990,1985,"175,4"
FRF_TARN,NO3-,indic_b100,1985-1990,1985,146
09,Orthophosp,indic_b100,1985-1990,1985,"117,6"
12,Orthophosp,indic_b100,1985-1990,1985,"112,4"
15,Orthophosp,indic_b100,1985-1990,1985,"77,8"
16,Orthophosp,indic_b100,1985-1990,1985,"120,8"
17,Orthophosp,indic_b100,1985-1990,1985,"100,8"
19,Orthophosp,indic_b100,1985-1990,1985,106
24,Orthophosp,indic_b100,1985-1990,1985,"113,4"
31,Orthophosp,indic_b100,1985-1990,1985,"89,2"
32,Orthophosp,indic_b100,1985-1990,1985,"98,8"
33,Orthophosp,indic_b100,1985-1990,1985,86
40,Orthophosp,indic_b100,1985-1990,1985,"121,8"
46,Orthophosp,indic_b100,1985-1990,1985,"103,8"
47,Orthophosp,indic_b100,1985-1990,1985,"92,4"
48,Orthophosp,indic_b100,1985-1990,1985,"104,8"
64,Orthophosp,indic_b100,1985-1990,1985,"106,6"
65,Orthophosp,indic_b100,1985-1990,1985,"150,6"
79,Orthophosp,indic_b100,1985-1990,1985,"174,6"
81,Orthophosp,indic_b100,1985-1990,1985,"68,2"
82,Orthophosp,indic_b100,1985-1990,1985,82
bag,Orthophosp,indic_b100,1985-1990,1985,"99,2"
FRF_ADOU,Orthophosp,indic_b100,1985-1990,1985,"117,4"
FRF_CHAR,Orthophosp,indic_b100,1985-1990,1985,"123,8"
FRF_DORD,Orthophosp,indic_b100,1985-1990,1985,"102,2"
FRF_GARO,Orthophosp,indic_b100,1985-1990,1985,"95,8"
FRF_LITT,Orthophosp,indic_b100,1985-1990,1985,"81,8"
FRF_LOT,Orthophosp,indic_b100,1985-1990,1985,"109,6"
FRF_TARN,Orthophosp,indic_b100,1985-1990,1985,"79,6"
09,DBO5,indic_b100,1990-1995,1990,"64,6"
12,DBO5,indic_b100,1990-1995,1990,"58,2"
15,DBO5,indic_b100,1990-1995,1990,"38,6"
16,DBO5,indic_b100,1990-1995,1990,"91,8"
17,DBO5,indic_b100,1990-1995,1990,66
19,DBO5,indic_b100,1990-1995,1990,"130,2"
24,DBO5,indic_b100,1990-1995,1990,"58,4"
31,DBO5,indic_b100,1990-1995,1990,"54,2"
32,DBO5,indic_b100,1990-1995,1990,"55,6"
33,DBO5,indic_b100,1990-1995,1990,"67,8"
40,DBO5,indic_b100,1990-1995,1990,66
